"genres","avg_rating","avg_progress"
"Книги для детей,Детская проза,Современная русская литература,Юмористическая проза",5.0,65.1538461538461538
"Детективное фэнтези,Любовное фэнтези,Юмористическое фэнтези,Магические академии",4.815331010452962,65.1273584905660377
"Православные традиции,Духовная литература,Афоризмы и цитаты",5.0,65.0909090909090909
"Мистика,Пьесы и драматургия,Русское фэнтези",5.0,65.0769230769230769
"Мифы / легенды / эпос,Зарубежная классика,Античная литература",,65.0000000000000000
"Прикладная литература,Развлечения,Педагогика",5.0,65.0000000000000000
"Детективное фэнтези,Книги о приключениях,Любовное фэнтези,Магические академии",4.7272727272727275,64.9557522123893805
"Изобразительное искусство,Самоучители,Зарубежная литература о культуре и искусстве,Руководства,Зарубежная образовательная литература,Зарубежная справочная литература",4.0,64.9411764705882353
"Мистика,Социальная фантастика,Городское фэнтези",4.666666666666667,64.9000000000000000
"Мистика,Исторические детективы,Исторические любовные романы",5.0,64.8571428571428571
"Короткие любовные романы,Историческое фэнтези",,64.8461538461538462
"Историческая литература,Триллеры,Современные детективы",4.2,64.8181818181818182
"Литература 20 века,Исторические любовные романы,Современная русская литература",4.333333333333333,64.8000000000000000
Любовное фэнтези,4.605026178010471,64.7469818274240691
"Книги для подростков,Героическое фэнтези,Сказки",4.666666666666667,64.7333333333333333
"Просто о бизнесе,Другие справочники,Общая психология",4.333333333333333,64.7333333333333333
"Зарубежная прикладная литература,Другие справочники,Зарубежная образовательная литература,Зарубежная справочная литература,Здоровье,Медицина",,64.6666666666666667
"Книги для подростков,Героическое фэнтези,Детская фантастика,Книги про волшебников,Юмористическое фэнтези",4.863636363636363,64.6666666666666667
"Любовно-фантастические романы,Научная фантастика,Попаданцы",4.489795918367347,64.6375838926174497
"Эротические романы,Криминальные боевики",3.6666666666666665,64.6363636363636364
"Стихи и поэзия,Европейская старинная литература",5.0,64.6250000000000000
Любовно-фантастические романы,4.654320987654321,64.6217659137577002
"Мистика,Городское фэнтези,Юмористическое фэнтези",4.0,64.6190476190476190
"Героическое фэнтези,Любовное фэнтези,Фэнтези про драконов",4.734299516908212,64.6135057471264368
"Попаданцы,Юмористическое фэнтези,Магические академии",4.277777777777778,64.6046511627906977
"Боевая фантастика,Боевики,Киберпанк",5.0,64.6000000000000000
"Ужасы,Мистика,Книги о приключениях,Любовно-фантастические романы,Современные любовные романы,Книги про волшебников,Любовное фэнтези",4.333333333333333,64.6000000000000000
"Попаданцы,Городское фэнтези",4.684210526315789,64.5878378378378378
"Современные любовные романы,Книги о путешествиях,Современная русская литература",4.615384615384615,64.5806451612903226
"Эротические рассказы и истории,Юмористическая фантастика",5.0,64.5454545454545455
"Книги о приключениях,Социальная фантастика,Любовно-фантастические романы",3.3333333333333335,64.5333333333333333
"Детективное фэнтези,Любовное фэнтези",4.621301775147929,64.5137867647058824
"Социальная философия,Зарубежная образовательная литература,Культурология",,64.5000000000000000
"Просто о бизнесе,Зарубежная религиозная литература,Христианство,Зарубежная деловая литература,Личные финансы",5.0,64.5000000000000000
"Книги о приключениях,Попаданцы,Городское фэнтези,Любовное фэнтези",4.2,64.5000000000000000
"Попаданцы,Любовное фэнтези,Юмористическое фэнтези",4.61049011177988,64.4960652870883124
"Внутренняя политика,История России,Публицистика",3.5,64.4666666666666667
"Семейная психология,Акушерство и гинекология,Педиатрия и неонатология,Воспитание детей",4.666666666666667,64.4583333333333333
"Книги про вампиров,Любовное фэнтези,Магические академии",4.695652173913044,64.4444444444444444
"Изобразительное искусство,Критика",5.0,64.4375000000000000
"Классические детективы,Современные детективы",4.378378378378378,64.4104477611940299
"Привлечение клиентов,Управление маркетингом,Стратегия маркетинга,Эффективность бизнеса,Просто о бизнесе,Зарубежная деловая литература",,64.4000000000000000
"Триллеры,Крутой детектив,Полицейские детективы,Детективная фантастика",4.666666666666667,64.3846153846153846
"Классические детективы,Литература 19 века,Остросюжетные любовные романы",3.5,64.3846153846153846
"Иронические детективы,Исторические детективы,Полицейские детективы",3.25,64.3846153846153846
"Эротические романы,Современные любовные романы,Юмористическая проза",4.588235294117647,64.3809523809523810
"Саморазвитие / личностный рост,Стратегия маркетинга,Эффективность бизнеса,Зарубежная прикладная литература,Лидерство,Зарубежная деловая литература,Коучинг,Мотивация,Зарубежная психология",4.5,64.3714285714285714
"Секс / секс-руководства,Эротическая литература,Истории из жизни,Любовь и отношения",3.9285714285714284,64.3548387096774194
"История Древнего мира,Общая история,Биографии и мемуары",,64.3333333333333333
"Научно-популярная литература,Справочная литература,Здоровье",5.0,64.3333333333333333
"Мифы / легенды / эпос,Список школьной литературы 7-8 класс,Древнерусская литература",5.0,64.3181818181818182
"Литература 5 класс,Учебная литература",4.6,64.3125000000000000
"Магия / колдовство,Городское фэнтези,Любовное фэнтези",5.0,64.3103448275862069
"Книги про волшебников,Магические академии",4.6752136752136755,64.2987341772151899
"Короткие любовные романы,Остросюжетные любовные романы",4.775,64.2885906040268456
"Городское фэнтези,Книги про волшебников,Любовное фэнтези",4.735483870967742,64.2831325301204819
"Детективное фэнтези,Попаданцы,Любовное фэнтези,Магические академии",4.5978260869565215,64.2730769230769231
"Зарубежная фантастика,Классика фантастики",5.0,64.2727272727272727
