"item_id","start_count"
12301,76
208717,76
134227,76
181053,76
262037,76
294210,76
212199,76
66091,75
257435,75
116509,75
303768,75
317035,75
228804,75
26225,75
14179,75
19550,75
317751,75
70570,75
212027,75
8653,75
211633,75
11951,75
300320,75
2519,75
251622,75
24872,75
261772,75
58611,74
81827,74
126788,74
60113,74
216560,74
156823,74
118910,74
250661,74
57112,74
18800,74
16592,74
132390,74
83612,74
162979,74
87345,74
167186,74
113536,74
289807,74
90059,74
107694,73
257754,73
14217,73
45902,73
272822,73
287786,73
152772,73
209410,73
46355,73
42782,73
305548,73
193844,73
145799,73
2816,73
171550,73
111198,73
177038,73
187463,72
86020,72
52482,72
295555,72
28502,72
306499,72
307492,72
291849,72
48646,72
189450,72
211078,72
162524,72
146161,72
27924,72
272064,72
69765,72
152911,72
105662,72
240634,72
213751,72
202584,72
233047,72
193909,72
86772,72
242775,71
123007,71
34363,71
47140,71
133013,71
25545,71
5362,71
123338,71
183285,71
228424,71
314390,71
214039,71
256279,71
124230,71
309468,71
294165,71
147676,71
294628,71
13861,71
48539,71
146804,71
240665,71
235006,71
158331,70
49490,70
46021,70
151586,70
110009,70
219848,70
186052,70
178199,70
46622,70
9973,70
190837,70
90423,70
136176,70
59130,70
31744,70
186738,70
300839,70
306931,70
114485,70
261169,70
6924,70
250354,69
182571,69
266675,69
280564,69
247329,69
273762,69
101462,69
124256,69
313038,69
104390,69
272304,69
203112,69
47388,69
33030,69
233635,69
310398,69
125341,69
110582,69
123918,69
214544,69
267050,69
259286,69
23268,69
187501,69
221765,69
25173,69
22813,69
153667,68
65366,68
84049,68
186292,68
145618,68
302229,68
132986,68
221474,68
273234,68
252131,68
23155,68
252938,68
24114,68
252399,68
319352,68
190134,68
114003,68
148399,68
29699,68
130511,68
151126,68
101499,68
54736,68
264355,68
318295,68
304450,68
188893,68
209990,68
114364,67
261889,67
83800,67
136661,67
156907,67
249144,67
176180,67
22675,67
225911,67
207173,67
136933,67
39129,67
26712,67
130616,67
186715,67
187000,67
2045,67
77266,67
223412,67
39696,67
18135,67
92675,67
117451,67
62483,67
129751,67
141372,67
155539,66
102165,66
37935,66
183636,66
135275,66
302903,66
79207,66
122557,66
255988,66
24415,66
239190,66
286921,66
79757,66
255943,66
13410,66
49975,66
231664,66
218570,66
197958,66
253227,66
102230,66
113403,65
164921,65
272298,65
49649,65
119123,65
278945,65
99193,65
53719,65
276064,65
33754,65
50678,65
173846,65
247341,65
82385,65
29475,65
181857,65
135222,65
36932,65
167338,65
289507,65
138784,65
253713,65
102694,65
146078,65
287411,65
189277,65
85876,65
170244,65
159226,65
225193,65
170453,65
18611,64
275422,64
242383,64
116213,64
16167,64
30105,64
131582,64
237783,64
68292,64
90016,64
18317,64
226563,64
126214,64
318345,64
185632,64
98092,64
247729,64
149488,64
257580,64
92455,64
56382,64
110811,64
221382,64
238258,64
200867,64
35666,64
301356,64
88404,64
36131,64
194233,63
260915,63
10269,63
37605,63
259671,63
234303,63
167962,63
43989,63
192161,63
318006,63
87311,63
8028,63
174041,63
5246,63
62696,63
246254,63
17213,63
266348,63
27296,63
11450,63
121135,63
105542,63
149642,63
284455,63
49230,63
181352,63
178718,63
297539,63
127399,63
257796,63
215165,63
24910,63
45221,63
57308,62
16773,62
70535,62
287861,62
241786,62
239822,62
141045,62
125600,62
221851,62
206185,62
57415,62
311608,62
261020,62
300889,62
283203,62
117269,62
215927,62
65060,62
2880,62
80766,62
175606,62
287219,62
35813,62
248542,61
79302,61
167994,61
249322,61
114024,61
47949,61
41405,61
170593,61
